case_index,sha256,bytes
40,fa9cbab1da401e2d84947a8c8e38413d3721f34f53e8f69a888cf32a26536300,1618475
41,cc6f334e4fe08fb3bf230df5b010e3ef23bbb272e9e5bba4c9ad37ea30b24433,1093608
42,998f64f004ee35016643c5f628cfc008bd19d8d53100589819ad6f49d92018a0,995443
43,d975cbdd01f9eb0916de4fd5928bf2f28b667b75d0141dde27e05146927fa8dd,1912442
44,592f72ebc304ec2945fcc37b0e924e1c86c7b7d74af007d0908575c2f4261eb0,1657876
45,92bb48a79fba60497054960f18a68a4762c6c5ae4fea7e1cc4f1472ef289e5cd,1910666
46,71a508b770278da8f84ba58690afdc1f6b5dc83714aff7545e972d55bfd2ef3d,1338385
47,fe9493d1d06a58026227c0c9e2917f3af2e2081f67cab9cb529746762522198d,1796734
48,924ee0eb3471da735b12d66077ec004d41e589a7a8a64c5490e213417dcb97ef,870333
49,94f2eaf124dfc3050be20fe3d733f7e96a8aafa03f9c42e3f2d4d8d426a6efa6,1011741
50,8a00ed35244f1ccf73c875ed79b00a42ea858a249c63032daa4165cc042d4e21,2192331
51,aaa2c307451d8d843411b39720078143322abb8135ac15043300396c3fc3c3db,1339424
52,5784f89c86cf022aa91ce9e650185b50f14a57b5bb8d7bfd714a33138ceddeb0,1853919
53,642baed44e3a3812288f468d60a38f88b4eaad3d371adf8d75be80968c1ff9a5,2034968
54,64dea4503433be48e15025b6dfe28030449df7a764b956a7cdad4920d767bc8d,1165577
55,cfc33cccd41593349aba7766992107971b86b376cd07a833f8525620ad42efb4,1228183
56,db82df041a42be44d9de666c2c251fe8e880dbfbdea7aee3c25dbdb198c2b6b1,2198135
57,01c46b66e87efb25706a636654a3b02a348c3b67dd34dcc3ab515746f51af5e8,1391641
58,f6479bbd06c15773b2ed88ab1f070f436610018f236f7d686402ebee38c3b382,2191931
59,1fc45d34642cf992e10443c0db1226b51b37b845c006632e5fa9d904f5b54fb0,1787902
60,3077a63f2d975c26aec68ea9b8c439f591ea134460581e08edb222df35adb6a6,1946447
61,607048022c6b9dbdf53d8e3e914060136c3d9e9119c6537bdad65488154973cd,2225922
62,74e075c955c1590061b3cd0b8002038320222c57efd4e3fadfc6d1361c2e4534,1448512
63,b1f1c2986cd38471b03eb983c39b20f7dd4a9e841d9a9eb51aaee76df71b22a7,1963112
64,d51cf3c9db17caa6d25d7093d22ad5238788d897ad68c17db3284c73d83a294b,1807168
65,eb2b508d1193a5a2f2524d87b266ec7e0f71edf9cb5e34d3124ff3ebe7a96e93,1706569
66,dd014d940e20c5bd31880e557af865462ecb088fb1781a066145ec09d46d4ff3,1829511
67,4bcf05180c5d6f5d739273b6b2661a8c37a2366d765352393800306bd1223886,910223
68,3cf3192e91dcd0623ffd69f12dd3b40afd57258ad87b1978899b808b3ffe79c0,1094866
69,0debb77ec16acbd63575573437fa60e061ad69bb89ffb6acf3434924ee31b443,1773434
70,9b3e63db5d38d56b02713aae88dcd29e8f0ec6a5e1830ed398fd813e9d4b2b8f,1610148
71,c78627ff1b7c5c120358d154234a78145bbd6678efc358422ea511b3b44cf438,1683247
72,9bd653df4a0e1aa0147f17e64c135b44c1be4c5ceb129fa647baf5823e02ad15,1946861
73,672ca8d5667fa458ae32793ebaa5963eb7a846353d3765ec42615e7c39d951f6,1336735
74,dfc59c9231a40ae6421dcf38179c707e51ad6adefab72097655da726bba49e7d,1972729
75,d8218f5128dce91023ad935a026f58d627b5ed86962e5db9d0c55fdc0709637d,1919634
76,914021ba7614de01c02e4e0e7ffc9e0a90ffb03e9e15f3faa11251e3decabf8f,1941796
77,65398d25d9dd6d5c9c1f87b3b52b97b152f9c6f0fb052945236f267a340f4591,926375
78,ab164e8b2b2a5390e4d1e4e9a750d6a7431f07e013082318ecc00ab008d0524e,1791375
79,342bc05993038b7add3ca83489ff4f0f1a9293cb017686871565ebb22c570d50,2398890
80,b5402b703cdcf675a4024fa37a1064a60118af696b5fbbb065dfe3929ac27c26,1761219
81,808a7261de91429c31894a5d5122abfebb91b2bc99c66af85621c804e3889ac2,1525059
82,9c7f319954a560a365cb9a6994e41a60f4f50520bf007b47009dd4e4a258e274,1317616
83,6f45e46507d7aeb9700e1b1646f2275015fe9ea32c6a9eacc2357143ae7d4cf8,1695628
84,47aa824a645f73576bd9f5a329a5aa4166882bd5c2173ee010cba860ce1dd441,878632
85,4755d7474469128d66b64837f66e18f1c2dfda569c87f9c7c9d3fd916628a3ca,2219565
86,27f32ec58bbe30cb494071a0795574faaf50d84afc1edcbfb175bb6f9857cbdd,1994417
87,b956d3110f2d723b257a85e66682532136ae1c89c8ba31a6fd182e9f9278a6db,1710847
88,a75f04f4df812867cf1db71ed044a478347b602ec1ef009dc684f4fbe79dc6fc,867334
89,61fc2b35250134804bbff36895c046216279c56e47378e93c7efbb3b9fd4d7ab,826747
90,b473df3fe43af4760042baca45ea0473254671822590778f65806b7efc58b6f2,1779611
91,16c1f8b3e8c4d5a831639e32fda3c14571c7201bfd029f94487f77c67b464a8e,1132414
92,413c4e4e83171b2f423a88cc726def7ddffc021fef4c9bcdc45115ea06845d4d,2000426
93,47900704a1f2d1a5bdcd4ac6495d92f9487e5cd902fc3536317f9f57fb57f1ec,1922480
94,f90a888d4f7e6381cbe037aaae536ea8b5863aeff25a67a23a3e72db0ec7dac8,840284
95,7413a063b597a22cc210b21f7f1c77ca8b455888fd7e58f33bc90ecfb78f0b9e,1547717
96,f5d3703aeb4264e991fb6e302d9d0ea9249b95cd21cddcda458123f8102193f3,931342
97,b503226f2adb7c6b8aab21584e724e3b7e3ac85d6a58aa52ecf63c8886bb4075,1523196
98,8f23c541d0479ba0d9bc730f4bc6ddef67a1e6ee270d09b118edd9984f35f29e,1070670
99,85602a5b35d61716e129f897369402015a94e080f44b9a0f61c37daacc51ee43,762931
100,4dc4bee453955b86e2e85fecb0b9b30f6ee085ec3439d946a53dc95094fc1123,1819732
101,fb762e362d8faa0990943be320cb7edee60a7817ca7984f0f0e8afdef7ece78b,1188576
102,95978097b7b1bb3515059116dd0ec39322ef1d4a20ff878c7ce9bb9b486df7a1,2096320
103,7bb0ad33cd03b04c8b40db1b887c9d08410c3ef42291a86f6aaeddf6b780a7fd,1660279
104,00168ae73658ce2a4c9143cd5a21e18bbfe6a537b3627a07c81f95c5e833e784,2079602
105,a590457c4bd42ef7679ba710e0e5e06eeb855bf5afa709e6f384d4ce10d47d83,1219593
106,00defa5ee68b01b04dcc008c29a0ff350fb412e70794410037012230c7e4375b,1000617
107,1dfc8c7b676e4f5436e7c65730874331a31620953c3b6e76e1ff2e86b5174d14,1839985
108,936a51ee5b8cc6a99e4a7af9dd7541785d3ea4931ba8ec897d0433aa47a690ac,1520286
109,a17a85a4bc2ecbc0b9677000a4c6095c072f34b3ac4f6cff591ebeb49c171dce,773446
110,d0b7e267da3d59b6e7e809a37f5d900baf164401857b260debbfa5f8132860ba,932983
111,c74f489539b96b4ed5371951a808d0bcd9f96b2b70f855e91abdd599e19425eb,1259097
112,d9caefd140a25c577f877fc18838af3bd5c8e853de3ac0b97a4fad1d7a85c19b,2551766
113,45a76dbb7eda6baa5a740eaf3bf0305f6bc5ebb3328fc12369c6ce58b933cb2c,1839079
114,64a1a60adb1e0697a91d051b3818eeaf626657ac5a088f55549ad9d586f5bf23,1942384
115,113a88f842115c88fa7f2be8c0e68e6112c644a139ac3fde89f249ad43632af5,1071013
116,60ed4beb5ec4c0158ca4c786b924a68821312926714a4a41b1c94be57c11650b,1092007
117,342c8f530677b76e9312e103662d44eef49e02f97b98d07922749a00275a8bae,1736053
118,b05e6c5ef711f47f76efe16a4e3818fb8113579aef819ee77b7462a2a9066c44,2347225
119,118ebe6e718fab042fb2cd3a140b28877a6fe65cf57c25d3172f8eab0111e9f5,1913719
120,f70a438bf8af13ded6c2fcf6578d7e95e38583bbf3a480b67cd09c0cde48a56b,2312837
121,9af98e50b050f6dadde7b0b8e087efc658fb1418d86019e086fa072b810f0d3a,1033801
122,86bfd5ff97269ecffe667f75515757fbb5e4836313b8d0d05d89d56d87c80a08,1614786
123,1f75911c8708113b0c0ce3be7431d10f86aa3475347f522be8e105d867ecd6d0,1339733
124,fbb68b84eb056a4d3e1e6a5554ed74e5e742e8f6fbe1e9345553559d1396e4fa,1290303
125,2467c7a383f0c0e891d12bc5351f2b24071ab195137616317fa2e188b2669690,1341257
126,b179cb809d4d6aab847aa2b435c8042ff16821dedf2588594554e31cf4450c40,1630146
127,7f0d1f252bd8335b7b0ef8e45ecdf68c3c850dd30b344abab13f536a7e50f9f3,3483101
128,f3c94b7d810d7472541ec6adf8c6d26c64a229c06416e6636e93592a5a3e856e,1303418
129,243795ecd9e3a23d9901776815902f9581a5dac2040fd6aecaf2e1ba810775c1,1676199
130,28d8bd6b45af441bb8517609c2222082a08d82a302ef7ffe3ac4199868b50a58,2125661
131,96a277e4c2917e96cb0062ebef4eccf16585d49bf42b23188682e1c64b06983d,1179558
132,6907014121d091c84b5765877e5be219f452c25ad0c339c05cdef0c1f8167b36,1354180
133,79a5a0a427391713309e239804b3b60bc5f2718ff3091f9bf0e11fdb0364ecda,1687399
134,46576e29c8909be7ada8db257f5b0c14cd129992d786150f8451198d17ab5c71,1833834
135,036ff9a5076523da13243e8c9c43fc135e547d96bd63ad98803c5990b7180f3c,1156430
136,d6293a2f107b99015fe0d8949376c5378c440c6a6ee47144468ef4d308e77cc5,1247900
137,b768c1cd4be0e754d05850b4a9ca8d4d5915a715b3fb6206f5571eeca682f5a8,2299995
138,13e4f50a12eab301975531796b4e0a8adf85cfa74b7a94d0d8ded75308b92cfc,1449175
139,93d73f3fe9d78d4325b56fcd359a6b4e36b4ecbdc7b4e69519a837ac6a4ab025,951802
140,d4ac1b5ed8e8163126383d47f52daab574db8d0062bcbb36f4532823fbd50b8e,1016196
141,458b0a8e79188d1a8ae359bb35853d8d79e1fc0f7b8c0b6e2b5eb8a707318525,1177105
142,ec4fa93dbb862212e81e3aba862b46246f5b776f3a1c2cf32984fd23ebca4bf2,1110766
143,6ca133e142a5f29761e4fd8685ce44aa90b56668856f5fcd3c4da0e9a2f71e52,1442977
144,be3e5fc25856bb62e53a4a3093a0951018889778815900b69e83bb95025aff33,2434678
145,985e8a64fc67e999f9082c134b851b71ec78c472869707ba144aa94fb251ccfb,1038974
146,1127078bc91396df84c8fd6ccb56fc82a6ad559ab284ec9b5f64c421b2b585ac,1495008
147,faae4a51282845d4a51f04273cb8c5731d8e588ae97a17ca0c73b730ff292f43,845867
148,2e825694d76a8620a84ffc44efb88f753e0bd16d930b38278ca02e281c9d8c02,1779471
149,79ad644d9024d2069aa68e287e62dedddbc5442722e5907fb9c00e8ca68f37b0,1002210
150,67567ca83c1202d185457a540afca002e9f60f35afad0d12c2b9a406810ae27d,1183290
151,63ee4cc943dfa7b899fbc2c9a7b54ca96b5c3a836fc21742df6937108cba2fee,1099312
152,032f92f253f28a492c14e0165efbe9a0a27a5bb6c4874dca624e0647ea63c409,1872339
153,dd4d8ef3e3ec4a23be4b013f96fc4f4bffd07c395f2456aca08c9efa8a4ce26d,1268582
154,afbcbaad77dacb11955466f964ca57f1144512093310a6d9b2ab238c534e8e97,665393
155,4c2a507866d1df90e48818a95580a7d704dc58aeaeebdc179c9a63123cb8afe5,1084769
156,962b499c646998e13a1dc85bf8f01a7c648ac24d8033bc79c6ae0e71549e3e06,1725247
157,9f43b24e9cab169f17d07eaff5fd474c57e3f8939ce6f47ecf80eedac70d8800,746335
158,cfded69726b88c2d75889ee91ea57028e55874d135e2471fa2399562f6f57f89,934962
159,501f8c13ea337586a8c0f59e6071181972de0ad308a52dd5a138bd66e7346804,1424741
160,931b96a93e09775f9cfbc2be7a4feb058b6cf4cb3201addfb8d83befe0c33ba7,1941390
161,4effff80d63a2a2ad5fb3fb70acb364f2f6116c8cfcee122e66d23490681a7c5,2201939
162,b81ee82ad80daf159457ef7377981eac7e005eb4a0d150f5aa6bc6df5759956f,1828666
163,f183959556c5fa82a67a30a552c51d5d94b9df4da0384a6e2f978bbf68789445,2159969
164,8179c4cdf4cae0ad7882b2c2c7624ef3d273d313db9bdbc705d8b08f8a703035,2108474
165,9fe9658430ddf83bf6e62f6c487c0340563964cc0b131ce7c436afc7da550b70,2352472
166,0a364ad04e10c626c27e09b172d325ee46a659db0041f8492e1058f25c671388,1058326
167,f5980f80c7e264f311a25d0730297d3cea0be9a225e7ae0ed7169e35d37375f0,1108561
168,54a70b1408009431fb8b22c511233d8e65950271d00a43c5d7afb280bf8980d0,1067999
169,721ab91142b5dca5cab26b3f7a3320040f09841c40e904346adaa01cbc6f8995,1532060
170,c14d0f715347754dea49a5e7e597b557d468dc8c5b775810e9ac71fd413a46aa,1696918
171,bdde4db63b706488eca74e2c9458e942047721a9cc610f1aa6b1d51aef0e58e3,1715917
172,5c0b80a734acff351d0bc662cc665cd7010311f4af8cb1e12275b521d3e518ff,1483162
173,4d6df89cbff590164a80e90cd17ff0a936b38eed3873a787597492060e563363,1080333
174,6894cecc71cfe4ace5d5ff0d5c070ee3c5c242d46507f0eaa8c9485e64afeff8,963681
175,56532c34c21aad591856c5b06eda05930902a866b85bcf7a2254e2bb08fa085c,1611736
176,ef4a6c98b63c1ece151900d53dadfe3b4af106e960884a6c8190dcb47140b7e0,887593
177,a1c9744be143feb2cfb20d4b1cf75dad913e6ce207829cee5b51c54f252b87e8,1051171
178,d1866a6658542b3243834e6e721a09d873bb80a697eba0d9ce767fa19fcb9372,1361246
179,b1e51c5146f0a1b93ef0f92a787b5a5c9708f75de557303862b379711a543b94,2025500
180,ea578d33161b915738044f9b1de3625a7db4e0270b84d01f1ee6682dfe252543,2871461
181,20473a8a0f5400faacd9835c1c4e8f5e0d12b234b256ad81ca550d8343674e5c,1670112
182,5a54fa3b985b843b23f4d9f48bcbfdf04ba6216f741a2ed8962d8131b798b700,1416500
183,d6b8a5af620f72c058bd979d1a86f47f03f16afd5081a0fab222fc8c96a467ef,1754867
184,bd15b555deddf5efa0dd12438dcdef6e3ef18ec541882e4158a349b5d532ede8,2090084
185,03c54465822a6827ad5b574764831d15e442623c64bd5285d005625bb3fe0d78,1083341
186,1c8214b3cfa62f9fb335bdf366036c80a019a18410f03ea05ed169ce1aaacbfd,1458643
187,f1fc404b6bde8f5661157fa6a8f1d9a4f7102af8edaec6f8fc971a2335844055,2229781
188,b3ba0e70d956588adb2376256b1b75cdd2a0c4f9bb3c7c042637fafe307d7af2,900007
189,4de4dfcf68bb5e6827b6953afb26c4aeb40ffcc1e33b489b5f574601a386fcc3,1111376
190,1b6a09fa5e608754e2e86ab523f96852b1b49b0788f050d3ca2490aee61621b6,2154039
191,3eb7c75241b53ef5432762cc86473424879ea89fa8a14b43e4286837ed6b21ef,985645
192,dbf7f972ad815d7916693904e1549a9eb22a96de5d35844d92ff296470b79241,911726
193,fb2d68796a4e7755b4a0a74a0e768b9d4dccb97d7d2f6f250fe10d6e4214892d,889545
194,871e0d97cdfa3f71e89e54beaadda3bc61480baea9b9361deb8d2c9b54e40554,788233
195,ea2a786a5972b118ffee76a8d1cda41b854875c8f14092b2aea962a4a58fa997,1607225
196,433c6fe1efece606a5fe0a651502a34a9e0be27a9d3b56e5204b68885ceeb236,1397014
197,54d7cbb8b3844bb3a1ea88dfcbdfaee95fc1ffb946ae019ee9a68080ffb7b353,1002969
198,1af16c687f5be45ae0aadf5b32ff64a28668a71e4970dfc1d64e6cf9757cc551,1254398
199,2d907a8ff5054af1f4ba121aa3126bd3095ee5358a2b39bec803a4f5a6f985ab,1542362
200,cfa335defc3ececeafb49d7f90a92c58050e6b4c026fabde282df1c1aa589db2,1522875
201,29cb846ec759b5c02e3f2a637194acb491818bddfb0e6763d541fa7cb13fdd0d,1260614
202,c372a52c3f4eb97d85c2d2636c0475ef922bbdd2fe799f3718ed11264115244e,1750701
203,fc1fac89f1fe160ea78774cfd5b1c86644e010aa6f26b2f82634a268d286d525,1044536
204,e25fcc948bee175d207026eb8de0174f80bf41bbecd97197569e2ddc5c246517,1108199
205,e857996283c59162e8910cc3636aeb47cbcfc8495e462d09a0e663814ce98ff0,1326532
206,ada7848744ba3352b978c18bb4abac28dfa2fed38a5782da993a7afe5a404ef6,1102262
207,d2a7c0894120b265c34b09d4e03d26730744f8f84a51b68cbefe1c4020105977,2869860
208,cb881c10c1859bf6120192ab694cfae7e45f6560ba270d0bdfc6d6098718f358,1320679
209,e962dbe0f111fcfa14b156fafb57282d170bc11aa727fd8c3222e5850c3d935a,689326
210,cc855e6c5b1bb0d93e6fa9f37b4f598e5d984d83c82962fc109bcea3b64afbc6,1433728
211,6e991761edda39c04553c6a4f40bd0fa5728534cf06362dac8a45fa0e8410814,1190137
212,defc09140b3432b16010e9924cd6c5074f499b75ae1b45a8a0e419d6bf8b71ff,1065635
213,e48c840046f8bb327f4f93420c00cb809948fb4b1beb60ebdbb1a5df4f558cfa,1640552
214,fb932a5fdc214a396e6ddf268eed3a863361ca9e8891ab11f0d7c0badce7497f,1626499
215,9ae2b85fae705c8bca9aaf1a134d5967c4cdef79dd0675f65033355c97ad0127,1394693
216,161e1d6660077fd6a9c2079435f8ff1f6775bdd0fa8555c16a064d925cdb9412,2246336
217,fc3fa445a61ac3b6b9cc1ed9bfad7e4d3a0c882b07605f3dfd742c8251e04f0b,1094709
218,adf7bd39afa85d4a555f6f1a1042701488727365c6fcee1b701543bed8de0517,1372481
219,1f90d98eaaf20eec33ebc9e03941fa0261d019f943863db71f687f9798530b74,1991661
220,8679c7865304d7f150c2ef10370cb605d1cee9eddc73504f7c6478ba19318d4c,1190971
221,065e64572ebcf3baaed28a8bbcd06081815992101b3566eb7fec78f089a6d66f,3548790
222,8e8448daf82d2c23fdf147c36e3b03185dcdab127df5bf5852b2d26405a0a43b,751485
223,bf69a0880d3e1e8a5cefb4efe8e32f3519745a0b063165db87699c2c2106a409,1546470
224,350c9670e4bd3dbbad5a72909740665662beffd2e732640b2f4f742f9cf70296,1561099
225,2e71e401ba015cae0e15903b017d59b7609288662af0f0671683e7d2bc1ec9e1,921427
226,18b488207a8f46832fa1395c2234bf4d7042d7cbb12adb831e514b594b41d3e0,929538
227,2c4b9f8b6a011469789ce204df31add3491652496e017b87b4a0d8d755a6089c,1792635
228,9a9572cc7a7e90b9f05af2a19ba03d68f314bb620806da5dbd2a2653b9983bca,1348475
229,848742048b3ee501621a78424837f0df91d50eef85421c63f4955739dde309dd,940721
230,83f1f5b1ec0e17bc7b43c57fe630f6e0165ecbec56da98da6f26f922cbd95c04,1398716
231,6a0211ecb3a99ed2e1f3545f6d8908f872d14db263e0a8dfe6e1982d3bcfb2fb,2224927
232,e13776af7e91b1838edf7b9c53acab4fc8f6d51f49b9f2dd94e66312b0086448,1170001
233,4b80e43e73a2ff94fdc5051bf41c6fe6df4b3e50cfdc10a4f022294b83f904de,1039068
234,a989e9a66dffa94741b1c91e43160f57b88bdefe92ff1338d1f65c59920df7b2,1648514
235,40c1f69293bdbb66f22855721e3606a8b4e6c0b76022d1d496e9d5b81d57be93,1901078
236,f0799d2f95bc6e28469f7bf78fcffcdc4c56d3966fb6be66b1a7f6fb7df2dc46,1586585
237,299289c3472db74a5f3ed722f5a6205328e6e83cd7ffa711ba3ee2b90d40e57a,1170518
238,10cd35c54e48229ce3d98b451124fdde898193c605f68509b5cd0f6ca277cfb8,1310862
239,78261d67549eee110dc4e6358844e66508a42b0d9a54e9a5a4cce33c1d4c34bc,1767278
240,8ed85800dd47eebedac6588abc260d6eaef89a934bbc2884ed64c02b99724e77,1163894
241,2040a9a9666f1ee46c679814bcaed16eb885cfdf51a8df74ec10c5c9e70e1f7a,882248
242,57c28562267cd0aecc3d776e8dcc84fe6300525e14f569f8253f0617adbadb54,1791006
243,7cc21c11486521349b6779d7e2a98f364dd28b8c3e27446fba55264046de6cf2,1922148
244,5152fdbb953874879d9dc870d966c7bad01e2264433a04a516541f1b89cbaa67,1380398
245,a79c61268e2b2ca5391244f521ab9f87e99d51417bea1e616742210928ff932d,820899
246,13a379f41fe224cbc8eca1063f48b62cfc7a2795fc0a84846a959317e58df167,1778925
247,19595d9ce82743364e4eb821938f5a28e598f716def87f5459df306096e5af6b,4156355
248,9843f6eb05f5e0388a7189e2f0762db6ed037870f86a77bfd537c1f2f35626e2,1456440
249,3f869d44627e3f99429b53b59c5e2fb6d8f8c84eb333743fad896304589d69ad,1825443
250,0758d82dc7b99878ed1a734a3927d8dc5f4e5e8111ae81970699ca09c5a1ea3a,1136836
251,44bba8b485c183648b78441b27283189f32e2309a0957018e49a5875b3464a68,1458271
252,64717473840707f52a790a4bf4bcec18bc8118360c81cae2fef23d595f132f11,1897635
253,bd059e9092ba7afb720056a302dce687eb3b48cfee17279ad012ef31c041b846,1672862
254,5076e34af9a893f763af0f7bf6c2312ffe8f4952797f6552ea33593c729ae592,1575653
255,6d52e9ff12ed3234de1b98e65b0e461c2cc27a3b65d6ef53a7e8d92cd218b278,928679
256,f9b8a6886c6d3bb064a57759950e0ebd6e1093117f70b2bb84994446903c308d,2095068
257,4348fc55b6f62bbb1d5de89ddd607b7b609ebb623821e571c606df186cb42f48,1215277
258,e0bb401965ddf44d709d99b5b258f4a9bb5856b5071cd38c4dd2877793eca205,806193
259,22ad405ff1a64da9b7cfd0d6613253d799510ed68ab8d5d544c13fca37b35872,714158
260,773310c6170907fd422b09ae2ae32ef1e8d8a8349b263f5b35707d60761c6d0f,1853816
261,9b3806cfe8eae45245d2c036f85f5b3b244b8883f267a07b50df9d9e088e0546,1842788
262,de923e43155be86faa7cee1463c19f3d18ad308e3ee1112f6700f7f60f138708,2357769
263,dd00fae559e22e4fc60fe735c3b3644b0e93c3282d9c2976c1e7c4880a838ab8,1132442
264,1f6b84cc5a5ced8281dbf07fff22beec52a46eaeb10edbd070f23b99fe1397de,2218614
265,ab9453cde96191e9873b8675a2127f599054cc3ad7c9cfa19fcdb5883d22bd72,1363918
266,fba2a52ba2628c866ae6b5d1e7163cebfa8aa2130d78410994a72e8fb0c76fa1,1994180
267,95d4551da71e470d4c9dbae3fd5c546cb7adc67e093254412eefe498d0aa3196,1158679
268,7cc6b24fbf7f29a685ef1f105e8fad9720efccab913b7ee567515e23bcb1837d,904278
269,c96a6734cecf60fe0500ad643da14916656d8ff8824a6eed5adfdb5b2ed4ba54,1781790
270,c8c2e8f375b1c327f8e6137ef3703e82d8c44b28b569ed59362de731a1e3d89a,1465828
271,6da9c231cc50c6b98222b1a84e5e6d2457c279503a4e5b0344d806ad734f679c,2287403
272,16daaf7bf54a02a7b3836d23e9fa37d8be018f75644bf809cbf33a8a5c350713,1934615
273,5cce0c86604c41a370ed00b72e7fa0fa20717aed150dc105fc3737dd5829a182,1203743
274,b0ed7a5b335f9a3bc8daaa201327abd664c924232f0585bdc3731eb640a7a4d7,1533183
275,561e38cfce537436ed93b804e024804cbe5ac7b21462beb26dec28f3ffa2c096,2558091
276,e8ce76b1c3faa60febafd59f464616640e7dde022e085c2ddf921e51904dfd1b,2040481
277,7506c2a80549def90c58df2d0fbf77f82f747ae740f6e3d26164b5829558b87b,1810116
278,f1c77b71149e52fe7bb42649433cb2d354980e1b67152fab874ab1f3eac1296b,1602165
279,8da98276f5e1776f5b9f8bd6b5198f11206fb9779d7424b738f7e9d3ca6ba1b5,1898406
280,a45fcdb7d99a9faae025ed4b4f20b7791db7d52a79a992caadf54e83582ec532,1600355
281,b78871c8acc64d2d7fa1b029e6598a934d36dbd0798cd08370315f829958ba76,1929660
282,22c7cb508f27c4143a04571b84adc35d359d247f9d29418d9d63186b9fdbf165,2389070
283,8465d584d73c547d76b8e7bf9e4b4e157b0fc2b34301b749f5feeb17c4ef50ed,2378752
284,2f1137133208971f14e5b343745260177ecfd7b18c8af9aad9ebd2c4d0443007,1505368
285,998e90bb34bb62074efd529cc4851bf63981621f13d5f6ed3397002ce43178bd,1851356
